title	Content URLs:	Description:	Prerequisites:	Speaker Info:	Speaker Links:	comments	year	selected
Managing distributed file system with consistent distributed store & leader based algorithm	http://www.slideshare.net/AtinMukherjee/consensus-algo-withdistributedkeyvaluestoreindistributedsystem	In a typical distributed system managing n number of nodes in an effective way is always a challenge. Distributed systems always demands to meet CAP theorem which is really hard to meet with a good performance numbers. All the nodes participating in the cluster should have the consistent data which is one of the criteria of the CAP theorem. This could be achieved by keeping the configuration details across all the nodes in the cluster, however this algorithm doesn’t scale (considering n X n number of exchange of information) and can end up having split brain situations. This could be avoided having distributed consistent store across m number of nodes (considered) as leaders where m < n. There are few technologies like consul/etcd by which this can be achieved.	People should be aware of what a distributed system means and its good to have background on it.	Atin is a Glusterfs hacker and currently working as a Senior S/W Engineer in Redhat India. Apart from storage he has also worked on different other domains which include telecom, BFS.		"[{u'text': u'The CAP theorem is an impossibility result according to wikipedia. So could you explain what you mean by ""Distributed systems always demands to meet CAP theorem which is really hard to meet with a good performance numbers""?', u'by': u'Aditya Manthramurthy (~donatello)', u'time': u'a year ago'}, {u'text': u'CAP theorem happens to gurantee any two of consistency, availability & partition tolerance. If you fail to meet even two out of three then you are in danger. IMO, meeting all three is impossible, but not two.', u'by': u'Atin Mukherjee (~atin)', u'time': u'a year ago'}]"	2015	False
MongoDB as database backend for Django.	https://www.dropbox.com/s/q6ojff99nmibeq4/django_nosql.ppt?dl=0	In the workshop we will go through the following and create a simple app using mongodb and django.Introduction to MongoDB and why we should give it a try.Introduction to Django-nonrel. Forked version of django to make it work with MongoDB.Introduction to Django MongoDB Engine.Hand on, create a simple application using mongdb and django.First 3 topics will be covered in  30 minutes and rest of the time will used in hands on/ Q&A.	A laptop with mongodb installed. Other packages/dependencies will be distributed in the workshop. It will  be good if participants knows basics of django and mongodb.	I am Shanki working as software engineer with Oracle working on private cloud management. Prior to Oracle I worked with Mindfire Solutions as Python/Django developer where I was responsible for development of varieties of applications and mentored small groups.	https://in.linkedin.com/in/shankisinghgandhihttps://twitter.com/shankisghttp://shankig.blogspot.in/	[]	2015	False
Monitoring your system using Nagios and Python plugins	"-Presentation link-Project gluster-nagios-addons which has python plugins for monitoring glusterfs using
 nagios. A small demo of monitoring glusterfs using plugins in above project will be given as part of this talk."			Associate software engineer at Redhat storage, Bangalore. Mainly working  for projects like Ovirt and Glusterfs		"[{u'text': u'Hi,
Please share more details on what kind of plugins are you going to present, if possible link to the repos. where the code is hosted. Also, please provide an agenda of how you plan to structure your talk.', u'by': u'konark modi (~konark)', u'time': u'a year ago'}]"	2015	False
Natural Language processing in Python with NLTK	"NLTK package : http://www.nltk.org/
Draft ppt : http://www.slideshare.net/secret/j3aZvdYyv3hlDTCode snippets shall be put up soon."	"What is Natural Language Processing(NLP)?  How it works? What NLTK(python package for NLP) is capable of? And a few other interesting things... 
Most of the devices today are speech-activated and hence uses NLP.
This talk is about exploring python for natural language processing mainly using nltk libraries. The main motive is to help developers explore the possibilities of natural language processing using python. We shall also take up a few simple examples like simple stemmer, word sense disambiguation and categorization of text to understand the basics of NLP."	Basics of python.	Anirudh K Menon, a computer Science Engineer from Bangalore, currently working in the Big Data & Analytics team at an MNC.		[]	2015	False
Offline Programming Judge in python		Holding programming contests which attract large participation quickly overloads any human mechanism of checking code. These competitions are good and in fact an absolute necessity for programmers to gain experience in my opinion. Internet based competitions are the best example. They use software written to be a good judge(eg. SPOJ) and are very popular.During this talk I will discuss the creation of a local Judge (as opposed to an Internet based one) and my experiences with the evolution of the judge I wrote for my college. The challenges I faced and the things I had to learn along the way.We will be writing and discussing:-It will not be using existing packages created for judging and will be discussing the creation of a judge from scratch. Some of the topics discussed will be:-	Basic python syntax and usage.Some familiarity with how WSGI works.Familiarity with how sockets work.		My blog and my Github account. 	[{u'text': u'This seems really interesting. I'd be really interested to learn the ins and outs of this! :)', u'by': u'Ratik Sharma (~libhide)', u'time': u'a year ago'}, {u'text': u'Online judges are imperative to coding competitions which form the basis for all great progrmmers. Learning to build one will be an exciting challenge and I look forward to learning more about it.', u'by': u'Aditya Duggal (~aditya4)', u'time': u'a year ago'}, {u'text': u'Is this the same thing which judged during cybercept15?', u'by': u'Aditya Guha (~aditya5)', u'time': u'a year ago'}, {u'text': u'Yes aditya.', u'by': u'arjoonn sharma (~theSage21)', u'time': u'a year ago'}]	2015	False
Operating System deployment monitoring using sockets	https://github.com/krishnaprasadDell/pycon2015	Operating System deployment in a datacenter is a common job. When it comes to deployments on 'N' number of servers, administrators/users always use a kickstart/automated installation. The objective of this proposal is to show how effectively the monitoring of OS deployments on multiple servers can be done using python and network socket programming. 			"http://linuxgazette.net/176/krishnaprasad.html
http://en.community.dell.com/members/krishnaprasad-k
http://www.pressreader.com/india/opensource-for-you/textview"	[]	2015	False
Pandas for beginners (data science 101)	https://github.com/cgkanchi/scipy_in_exploring_data	In this tutorial, I will demonstrate how to get, load and process a publicly available data set using Pandas. Major areas of focus will include cleaning up data, performing basic statistics, and visualizing the data using Python.	Basic knowledge of PythonComputer with Python, Numpy, Scipy and Pandas installed	Chinmay Kanchi is a data scientist and developer at iDatalabs. Before this, he was a scientific computing and data science consultant, specializing in solving scientific and engineering problems using Python.	http://twitter.com/amphiesma	[]	2015	False
Power of Ansible in Cloud		Ansible is an IT automation tool that can be used to configure, deploy and orchestrate many different Infrastructure based tasks. For example, use Ansible for: system configuration, software deployment, application or infrastructure orchestration, and yes, to eventually replace most infrastructure folks…just kidding…maybe? With my many years of supporting Production based applications, with tools like Ansible on the rise, the writing would have certainly been on the wall. Major word of advice for Infrastructure engineers…LEARN one of the many orchestration tools and begin to love the term DevOps.Ansible also provides efficient modules to manage Cloud Infrastructure, like Amazon, Azure, Cloudstack, Digital Ocean, Docker, Google, Linode, Lxc, OpenStack, Rackspace, VMWare, etc...This talk aims to primarily touch upon the following topics:Also illustrate examples of real time scenarios that use Ansible.		Bharat Kumar Kobagana works as Software Engineer at Red Hat. He is primarily associated with and contributes to the following open source projects:OpenStack: A cloud Operating System, which manages cloud computing platforms for public and private clouds.	Find me on GitHubPrevious Talks	[]	2015	False
Pretty printing in Python	Presentation [WIP]: http://shakthimaan.com/downloads/glv/presentations/pretty-printing-in-python.pdfPrusa i3Arduino Mega 2560PronterfaceSkeinforgeMTConnectPredictive quality control for additive manufacturing	"This talk shares the experiments and experiences of using Pronterface and Skeinforge with the Prusia i3 3D printer. Printrun is a free and open source software written in Python for facilitating 3D printing, and is released under GPLv3 license. Skeinforge consists of a set of Python scripts for generating G-Code from 3D models. The Prusia i3 is a RepRap 3D printer design that is also released under the GPLv3 license. The Arduino ATmega2560 controller is used with the printer for configuration, control, and directly interfaces with a computer via USB. A short outline of the talk is given below:The temperature control tests are performed to determine the optimal temperature for the thread used in printing. The MTConnect adapter reads sensor data from the printer for further analysis from the perspective of the Internet of Manufacturing Things (IoMT). The CAD/CAD integration with the host provides an ""Art to Part"" workflow from modelling to printing. A picture of the Prusia i3 setup is attached."	An interest in 3D printing!	Shakthi Kannan is a Free Software enthusiast who blogs at http://www.shakthimaan.com/news.html.		[]	2015	True
PyMONGO with Bottle Framework  for Passw*rd Change Made Easy!!	"Basic of python (sort, list, dictionaries, variable, libraries)
bottle framework ( debug, run, get,post,forms,route)
pymongo ( Connection, crud)
MongoDB ( not required but added advantage if know)"	"
This is web Application developed using Python,MongoDB, and Bottle  As a framework.This is to let the user to change their forgot password authenticated by their Windows Login name.This appliacation will not ask users Username or Previous Password, instead if the user logged in to Windows with the same name as the DB username it will picks upyou can deploy this application in one server and add multiple servers to this IP and Port should be passed, IP and port validation is done in Python programming,  Users new password complexity check is done and if the username is not found in the destination DB Python throwing an exception."	"python 2.7
pymongo
bottle 0.13
MongoDB 2.6"	"
 I am DBA in Altisource ( bangalore) with work experinece 2.5 years, i am graduated in 2012 Jun from Mangalore institute of Technplogy and Engineering with computer science Major, Currently i am working in project which reduces the DBA junk work of Password reset so   Password Change Made Easy born. I am proficient in Bash scripting, Python scripting. This is my first Python programming project."	"https://drive.google.com/file/d/0B4nMzZ4wtvdvSEYyd1BzWmh0dmc/view?usp=sharing
 http://www.slideshare.net/taddudarsh 
https://in.linkedin.com/in/dbadarsh
https://goo.gl/WPxAe7"	"[{u'text': u'Seems to be good implementation of python + mongo + web interface. Complete end to end usage of mongo database and python coding.', u'by': u'Rajesh Nair (~rajesh)', u'time': u'a year ago'}, {u'text': u'good work effort - ""changing passcode easy"" :) :) :)', u'by': u'vijaya kiran Muthyala (~vijaya_kiran)', u'time': u'a year ago'}]"	2015	False
Python 3 Metaprogramming, Macros, Madness & More!	Github repository for the code that accompanies this talk.	"SummaryEver wanted to conquer the world, but just fell short of not knowing how to write code that writes code to conquer the world?At the end of this talk, you will be able to understand metaprogramming and its different forms, write a decorator, a metaclass, and look more deeper into Python than you ever have!Agenda
(Draft)Mode of presentationThe entire talk will be from a terminal. I'll be explaining concepts as I code them live."		Suhas is a Data Scientist at Gramener, and was previously an Engineer at Verisign.		[]	2015	True
Python Flask Framework	Project Overview - https://docs.google.com/document/d/1QzTkjrPCibvAJ_6Bz1iyrQVyIFXoTPRkqWszWwXkf7o/edit?usp=sharing Please note - this is just a first draft of the project that I will be conducting as a part of workshop. Most of the part of my workshop will be covered by practical project work and will be using PPT only for Flask introduction purpose. Looking forward to present this workshop @ PyCon 2015.  :)I will be updating the Project Overview Document regularly to give latest updates.	"I would like to propose my session on Flask framework with following objectivesTarget Audience:Objectives
Outcome of the session
Participants should be able to get confident about the Flask's inherent capabilities and gain at least intermediate level of expertise to develop applications in Flask framework. "		Pralhad hails from Pune. He has more than 10 years of experience in LAMP. Though PHP and PERL have been his core expertise - he found Python very interesting and developer friendly language. He has not worked exensively in Python but he has been learning it since last couple of years. He knows Django framework quite well and has gained expertise in FLASK framework currently. He likes to share his knowledge through conducting productive tranings and workshops. Previously he has conducted many traning programs for PHP and Drupal. Apart from his work Pralhad likes music and travelling new places. 		[{u'text': u'Please let me know if you would like any particular topic from FLASK framework to be covered. I will try to include that in my workshop/session.', u'by': u'npralhad', u'time': u'a year ago'}, {u'text': u'Good Content.. Will Attend', u'by': u'chaitanyakul', u'time': u'a year ago'}, {u'text': u'Thanks :)', u'by': u'npralhad', u'time': u'a year ago'}]	2015	False
Python Multithreading and Multiprocessing - Concurrency and Parallelism	Presentation slides - http://slides.com/hitulmistry/deck/fullscreen	Python threading and multiprocessing package is to perform operations in parallel. In this talk, people will get introduced to python threading and multiprocessing packages. This talk will cover multiprocessing/threaded development best practices, problems comes in development, things to know before multiprocessing. After this talk attendees will be able to develop multiprocessing/threaded applications.Target Audience:Topics to be covered in the workshopThis talk will cover best practices and problems in multiprocessing and threaded application development.		Hitul is a Software Engineer developer currently working at Shopsense.co. He has experience in development of large scale mission critical and fault tolerance distributed applications. He is solution expert with in-depth knowledge in distributed computing, cloud computing, multiprocessing applications and web applications.He's very passionate about the web back-end and infrastructure and keeps on tinkering with new stuff to create something different. He is pythonist and gopher.	http://hitul.in/https://github.com/hitul007http://hitulmistry.blogspot.in/	[]	2015	False
Python Traceback For Humans!	Note: These are drafts. Will update in few days.Slides: https://chillaranand.github.io/py-trace/Code: https://github.com/ChillarAnand/py-trace/tree/gh-pages/code	When we have to debug our code, we think about print statement(or logging) or using debuggers like pdb. But we rarely think about using traceback as a debugging tool.In this talk we will dig the traceback gold mine and use it for quick & effective debugging.Agenda:~05 min  - What is traceback?~05 min  - Replacing default traceback with colored traceback.~05 min  - Things You can do with custom traceback.~15 min - Traceback: The forgotten debugging tool.~05 min  - Using Conditionals/Exceptions For Better Traceback.~05 min  - Q & A.	Able to write FizzBuzz test, dict comprehension without googling.Can play with *args/**kwargs, locals/globals, builtins/dunder methods.Must have read Python docs for atleast couple of functions/modules.Must have checked source code for atleast one Python package.Good to have:Interested to write own packages(or already written).Interested about Python internals.	Projects: ptb, real-auto-save, fadapa.Helped in developing PythonIndia/Junction.Talks & Articles about Python!	"
GithubStackOverflow
BlogTwitter"	[{u'text': u'Flask ( Werkzeug ) debugger uses this approach to render traceback. Developer can go back to any point and inspect the variable. Good topic.', u'by': u'Kracekumar Ramaraju (~kracekumar)', u'time': u'a year ago'}]	2015	True
Python and Riak DB, a perfect couple for huge scale distributed computing	http://impythonist.in/python-and-riak-db-a-perfect-couple-for-huge-scale-distributed-computing/Here is presentation for my PyCon India 2015 talk.http://narenaryan.github.io/Pycon-India-2015-Talk/#/	"A hands-on guide for working with both Python and Riak DB using Python Riak client . From setup to running samples in few minutes. Our exploration starts with ""why Amazon Dynamo DB model is good for storing things in cloud?"". Riak DB is an exact open source implementation of Amazon Dynamo DB. After this session audience will be able to integrate Riak DB in their Python projects successfully and knows how to to deliver maximum data availability by distributing data across multiple servers . "	Python 2.7 , Basic Database knowledge , Clients and Server knowledge	I am Naren Arya , a DevOps engineer from Knowlarity communications , Banglore . I am a blogger,technologist and a Django ninja in other forms.my email address is narenarya@live.com	http://impythonist.in/ https://github.com/narenaryanhttps://in.linkedin.com/in/narenarya	"[{u'text': u'For online slides please visit
http://narenaryan.github.io/Pycon-India-2015-Talk/', u'by': u'Naren (~narenaryan)', u'time': u'11 months ago'}, {u'text': u'Here is my talk slide for PyCon 2015
https://www.slideshare.net/secret/3kOc9GTTiNYxlv', u'by': u'Naren (~narenaryan)', u'time': u'11 months ago'}, {u'text': u'Here is my talk slide. https://www.slideshare.net/secret/3kOc9GTTiNYxlv', u'by': u'Naren Yellavula (~naren2)', u'time': u'11 months ago'}, {u'text': u'This talk is to explain how a distributed database architecture can drive more reliable web apps. Even for startups who use Python and wants a database which is fault tolerant with no down time ,Riak is helpful. Talk will clarify when to use Riak DB and how we can exploit it using Python ,the easiest language to write more efficient Web apps.', u'by': u'Naren (~narenaryan)', u'time': u'a year ago'}]"	2015	True
Python bindings to a distributed filesystem	Good to know:	GlusterFS is a distributed file system capable of scaling to several petabytes (actually, 72 brontobytes!) and handling thousands of clients simultaneously. It lets you build a scalable networked storage using pretty much any common hardware. It is easy to start small and add more storage later. GlusterFS combines blocks of storage over the network into a single, large storage pool that is served to client appliances. Gluster can deliver exceptional performance for diverse workloads. It is free and open source software enabling people like you to build data storage with high performance and great value, for a variety of demanding applications. In this talk, we aim to cover two major topics:libgfapi-python (Python bindings to GlusterFS): Python applications can now easily access petabytes of storage space present in your cluster. It's as easy as this:You can now perform I/O on the storage volume just as you'd do using Python's os module. For example:glupy (Write translators using Python):Translators are stackable modules that can intercept and/or transform filesystem I/O operations. glupy module will allow translator code to be written in Python. It's based on the standard Python embedding (not extending) techniques, plus a dash of the ctypes module. This talk will outline how one could leverage glupy to write custom translators.While the python bindings allow the consumers to mount and use the filesystem, glupy will allow you to implement new features in GlusterFS internally.		Humble Chirammal works as Senior Software Engineer at Red Hat. He's been with Red Hat for more than 8 years. He is actively involved as a major contributor to GlusterFS open source project. His other interests include virtualization (QEMU/KVM, OpenStack) and emerging technolgies like containers (docker/kubernetes). He is also package maintainer for Fedora Linux distribution and a member of CentOS Storage Special Interest Group. You can reach him on:Prashanth Pai works as Associate Software Engineer at Red Hat. He is primarily associated with and contributes to the open source projects like GlusterFS and OpenStack Swift. Find him on GitHub.The speakers are co-maintainers of libgfapi-python project. 		[]	2015	False
Python code profiling using line_profiler	" 
"	The audience will learn about line_profiler, it's use in Software Development and how it helps in making the software efficient by calculating the Time used by the modules and each instructions under them.The talk will show how we can use line_profilers with Python by testing it live on a demo application written using pygtk and how to analyze the results and optimize the code.Talk Outline:		Jackson Isaac is a Final year student pursuing B.Tech Computer Science Engineering from Amrita Vishwa Vidyapeetham, Kollam. He is currently a GSoC 2015 Student developer with The MacPorts Project. He has contributed to open source projects namely GNOME-Music, Mozilla Firefox, Mozillians and Mediawiki-Vagrant. He has been using python technologies like Clone-Digger and line_profiler in GNOME-Music and other small personal projects since 2 years. He has also presented a talk on the 'Python3 Code profiling using Line_profiler' at FUDCon 2015, Pune and 'Contributing to GNOME-Music' at FOSSMeet '14, NIT Calicut.	http://fudcon.in/fudcon-pune-2015/sessions/python3-code-profiling-using-lineprofilerhttp://isaacjackson.mehttps://www.jacksonisaac.wordpress.comhttps://www.github.com/jacksonisaachttp://fossmeet.in/2014/	[]	2015	False
Python for flying machines	Slides	"The objective of the talk is to introduce people to world of companion computers for UAVs. These companion computers rely heavily on python for non-critical functions, leaving the autopilot board to do the critical flying. The companion computers and what's on them define the kind of application the UAV will be performing (aerial photography, 3D scanning, surveying, package delivery, swarming).
Python is at the heart of these applications, and this talk will show how.Outline :Introduction to flying machines/RC hobby planes/""drones""The Hardware Companion computers : Use Linux Luke !The Software"	Familiarity with *nix  	Anuj loves to work on software for hardware. A BeagleBoard fan, he loves his OSHW. His most recent project was Tah, which is one of the few crowdfunded electronics projects from India.  These days he's working on Blee.	"GitHub
Blog
Twitter"	[{u'text': u'This seems super interesting!', u'by': u'Tejas Khot (~tejas)', u'time': u'a year ago'}]	2015	False
Python in the World of Test Automation	http://www.slideshare.net/SRKKrishnan/python-in-test-automation	"Python is used in many fields of Software Development Cycle. In that one of the vast use of Python comes in the testing phase. In this talk I am going to show you variety of places where Python is applied for Testing. It gives an overview of,
- GUI Automation With Python-Selenium Webdriver
- Image based Automation using Sikuli-Python
- Desktop Application Automation using pywinauto
- Product Testing and Automation using core PythonThe talk gives introductions on each of areas above and has a demo on each. It is to give an eyeopener on Python's usage on various testing areas."	Anybody with knowledge of Python, Testing and Test Automation can come in	"I am a MS Graduate from BITS Pilani Working in Wipro Techologies for the past 5 years and 6 months as Test Engineer. In the entire stint at Wipro so far I have been using Python as Core tool for Test Automation. I have been using Python for
- Product Test Automation: I have Automated many embedded products such as load balancers, routers etc by designing new frameworks and implementing them.
- GUI Automation: Using Selenium-python webdriver I have developed many custom frameworks and successfully automated product's web ui.
- Automation of Desktop Applications covering Install, upgrade, removal etc and Linux OS Automation
- Apart from Test Automation I am a python enthusiast, Full Stack Web developer, Pygame userI had taken a talk on the same topic in Chennaipy meetup on October Month"	"Github repo: github.com/saisrk
blog: pyhelper.wordpress.com
Linkedin: https://in.linkedin.com/pub/krishnan-sreeraman/34/227/1a7"	"[{u'text': u'Sorry the github link was wrong. Its 
https://github.com/saisrk', u'by': u'Krishnan Shankar (~krishnan)', u'time': u'a year ago'}]"	2015	False
Python load balancer: 0 to 1 million requests per second	Robustest: http://www.robustest.com/	We(Robustest) have built a custom load balancer in python which scales up to a million requests per second. This talk will focus on:	Only basic python libraries were used such as socket. Rest of the libraries were built from scratch. 	Abishek Kannan is an undergraduate student from International Institute of Information Technology. He is working in Robustest R&D team where he has built a custom load balancer for Robustest.	GithubTwitterLinkedInContact me at:abishekann@gmail.comabishek.kannan@research.iiit.ac.in	[]	2015	True
Python on your Mobile Phone(advanced concepts)	https://docs.google.com/presentation/d/1dMMOQBF81z1kw3LltRvj86Nj2VpmNpjoc48TGWoaLFw/edit#slide=id.gb09d4d744_0_13The presentation will keep evolving till a week before the actual presentation. 	"The main objective would be to ::Showcase advanced features  and good practices for mobile development using Python(Kivy Framework).We will write a application that Uses all the hardware features of your mobile::We will extend this application to takes advantage of some of these features to modify it's interface and behavior on the fly.
We will try to handle blocking operations using Threads/Subprocess/Service, to keep the app responsive.We will see how easy it is to use EffectWidget taking advantage of your mobile GPU to add shaders to your application.We will see where to use kv design language for UI design and where to avoid it for repetitive tasks.
How to incorporate a responsive UI design in the app based on which device it is running on.We will showcase how the same application can be deployed to linux, windows, android, iOS, Mac without the user having to change anything."	"This work shop is for intermediate developers willing to learn advanced concepts for Mobile Development.
You are expected to be familiar with python. You are expected to be familiar with some basic concepts of kivy like it's property system and  kv language.You can go through some basic tutorials of python and kivy mentioned here :: http://kivy.org/docs/gettingstarted/intro.htmlThis tutorial is supposed to be a second step after the basic first steps you have taken into kivy and mobile development.I'd suggest people to go through my earlier tutorial which has it's slides up here https://docs.google.com/presentation/d/1zoyqnnDqpXRPmZ1pLYu05cWMg-l9qt2657uGFozZWig/edit#slide=id.g348f44647_061Hardware/Software Required:One fairly recent Laptop, anything with a gpu that supports OpenGL ES 2.0 or above.Even integrated Intel gpus from the last 4+ years usually support this feature.Android device only if you want to test and deploy to a mobile.People interested in testing on iOS can bring a their iOS device. iOS devices will only work if you have a developer license from Apple and a mac device that is running latest Xcode.Willingness to learn and a ability to laugh on my bad jokes.We will be providing a VirtualBox vm using linux in usb pen drives.
This will have kivy and it’s sister projects pre-installed for allowing you to follow the tutorials and to easily deploy to your devices."	"I have been working with linux, open source off and on since the last 13+ years, I only got into contributing back open source with kivy since the last 4+ years.I am one of the core devs at kivy http://kivy.org/#aboutus
You can take a look at my public work here http://github.com/akshayauroraThe project has a amazing open community always open to help and to embrace new comers. Don't hesitate to come join us at #kivy on irc.freenode.netI have been a mentor for gsoc projects around kivy for the last three years, this being my fourth year.Professionally I have been freelancing around mobile development and other projects around and using kivy for the last few years."	"I held a well received workshop last year on pycon 2014 the presentation link is https://docs.google.com/presentation/d/1zoyqnnDqpXRPmZ1pLYu05cWMg-l9qt2657uGFozZWig/edit#slide=id.g348f44647_061https://in.pycon.org/funnel/2014/220-mobile-application-development-with-python-kivy/
Unfortunately they had issues while setting up video recording the day I held the workshop; so there is no video of it.My open source contributions can be looked at using my github account
http://github.com/akshayaurora"	"[{u'text': u'yes, 9:30 am :)', u'by': u'Akshay Arora (~akshayaurora)', u'time': u'10 months ago'}, {u'text': u'@Akshay, you mean 9.30 A.M right not 9.30 P.M :)', u'by': u'rakesh manohar (~rakesh)', u'time': u'10 months ago'}, {u'text': u'@Rakesh, I guess they will start at the time other dev sprints do start. I will try to make it by 9:30pm.', u'by': u'Akshay Arora (~akshayaurora)', u'time': u'10 months ago'}, {u'text': u'Thanks akshay, I got the confirmation and i am selected for Dev Sprints. At what time is the Kivy dev sprints?', u'by': u'rakesh manohar (~rakesh)', u'time': u'10 months ago'}, {u'text': u'@rakesh The dev sprints were just finalized, let's wait for one more day, if you still don't get a confirmation then you can e-mail me and I will ask the organizers to get in touch with you.', u'by': u'Akshay Arora (~akshayaurora)', u'time': u'11 months ago'}, {u'text': u'That's great Akshay, I have purchased this workshop ticket. as you said i will attend the Kivy dev sprints too. I have filled the registration form too and I have not gotten the confirmation. should I be waiting of should I contact some one else.', u'by': u'rakesh manohar (~rakesh)', u'time': u'11 months ago'}, {u'text': u'Hi Rakesh,
I would love to do a workshop in Bangalore in one of your meet-ups. Btw for people who didn't get to be a part of the original workshop, I would be available the entire day of the workshop. We have a section for kivy in dev sprints if you want to come over and try to follow the old workshop material yourself I will be available to help out if you have any problems.', u'by': u'Akshay Arora (~akshayaurora)', u'time': u'11 months ago'}, {u'text': u'it would be really great if we could do a meetup in Bangalore. I am sure there are lot of developers willing to use Kivy.  I am one of them. I missed last year's con. I will try to go through the docs link that you have added. And thanks, this is one of my interest since java is not in cup.', u'by': u'rakesh manohar (~rakesh)', u'time': u'11 months ago'}, {u'text': u'Just in case this was not clear.
This proposal is a second step to the one I did last year, It's supposed to teach advanced concepts and design patterns to be used in mobile development.
The slides are right now a copy of what we had last year with minor changes. I am adding new content every day to it to include advanced concepts inside it instead of the old content.
I have the basic outline of the presentation mentioned in the proposal above. The slides will be updated based on that.', u'by': u'Akshay Arora (~akshayaurora)', u'time': u'a year ago'}]"	2015	True
Python with NoSQL buddies: ArangoDB and Cassandra	http://planetcassandra.org/getting-started-with-cassandra-and-python/https://www.arangodb.com/tutorial-python/	"Outline:
Most of us gets stuck when we get understanding of the NoSQL Databases means only firing queries and creating basic level steps. This session tries to give intermediate developer feel so that you can use NoSQL databases in Full Fledge manner. 
=> In this session, I am skipping mongodb due to two reasons:
1. To avoid repetition as it is going to be covered by workshop fellow speakers.
2. It is well known.Aim:
This workshop i.e. Hands-on session consists of following stuff:
1. Quick overview of basic Queries for Cassandra & ArangoDB
2. Setup for Python Connectivity
3. Sample Programs of Python with NoSQL 
4. Effectively leverage power of NoSQL with PythonMore contents are on the way, so the slides are under construction.Why to AttendFor Python lovers, To get a working knowledge of the world's leading NoSQL databases in combo with Python.For NoSQL Databases lovers,Take a ride of Python and NoSQL databases to kick start your development need.Outcome (After Workshop): 
After this session, attendees by themselves will get understanding of Python programs for NoSQL databases so that they can develop them at their own. Next,  this session also aims at development of NoSQL +Python ideas; either for serious development or funway learning which targets to give attendees practical exposure than theory sessions."	Targeted Audience: Developer/Students try to get their hands dirty on Python & NoSQL Databases.Prerequisite: 	"Looking out for R&D positions or Software Engineering Positions to keep myself active.
Currently working as Assistant Professor in MITAOE. Also an Github activist.
In order to keep my skills sharp I am currently trying to contribute to following open source projects:  "		[]	2015	False
Python-Playing with number theory and competitive programming	Code snippets:GithubNumber theory libraries:	"Number theory is branch of pure mathematics devoted primarily to the study of the integers.It is the queen of mathematics and is widely used in creating questions related to competitive programming.It is highly important in physical calculations and is used by highly regarded scientific organizations like NASA etc.
A lot of number theory libraries exist like NUMPY,SYMPY etc but how do these libraries work and how to implement your own efficient number theory functions in python?This talk will give the answer at a beginners level"		My name is Jasdeep Singh,or gamer496(my common handle).I'm an undergrad studying Computer Science at Jiit Sector-62,Noida.I have been using python for different projects and scripts.I'm an open source enthusiast and have contributed to VLC , lmonade and Blender.I'm also an competitive programmer and love solving problems on spoj.		[{u'text': u'Nice one.', u'by': u'Avneet Singh (~avneet)', u'time': u'a year ago'}]	2015	False
RAMCloud: Next generation storage system	https://goo.gl/I6fnGG	RAMCloud is a project which began at Stanford University, it is a general purpose storage system where each and every byte of data always reside in DRAM(main memory) and disk take the role of archival or backup. It is developed completely using commodity hardware and can provide an access latency of 5­-10μs. The RAMCloud technology will be very useful to data centric applications like current web application where performance is very crucial. I would like to give an overview of RAMCloud, its advantage over other memory based storage system like Redis, Memcache etc and about the Python binding using which we can work with it.		I am a PhD student at Amrita University, Amritapuri Campus, Kollam, Kerala. My area of research is in­-memory storage systems. I have set up RAMCloud cluster in my lab and carried out few experiments over it. I am also part of FOSS club (foss.amrita.ac.in) at Amrita and mentor students to contribute to open source projects. I have been part of Google Summer of Code 2012 where I contributed to e­-cidadania an e-­democratic web application which is written in Python­Django.	http://bithin.wordpress.comhttps://in.linkedin.com/in/bithin2007https://tw.pycon.org/2014apac/en/program/25http://pydata.org/berlin2015/speakers.html	[]	2015	False
