title	0	1	2
108. Interactive Data Plotting with Bokeh 	"The talk gives a basic introduction to Bokeh Python. A brief description to bokeh is provided in the slides. The slides contains introduction to special features like Bokeh Server and Bokeh Flask. This enhances the dynamic interactability of Bokeh.
Alongwith the slides I have prepared two ipython notebooks. 
One has basic plotting in Bokeh , with data extracted from a csv file using Pandas.
Another one explains a very useful feature of Bokeh known as Interactors"	None	"I am a fourth year undergrad student. Pursuing major in Computer Science and minor in Applied Maths from Shiv Nadar University. I have been programming in Python for the past 3 years, with contributions in Open Source Projects like Pandas.
I have notable research experience in Data mining (Frequent Pattern Mining to be precise) and Number Theory in Applied Maths"
109. Theano & Keras: Teaching Python to 'learn' English	"The main intention of the talk is to introduce people to Theano and Keras, one the most prominent deep learning frameworks used across the world. 
The talk is aimed to be a walkthrough to enable audience to design deep learning algorithms using Theano and develop deep-learning applications using Keras, which is built on top of Theano. "	The way through which the power of these libraries is demonstrated is through their applications. This talk will serve as a guide to one interesting application: Language Modeling using these libraries, along with various nuances in coding introducing methods to optimize the code and increasing the performance gains by running it on your GPU.	This talk aims to introduce people to Deep Learning using Python and various applications across domains, featuring NLP: An upcoming area of research with huge potentials in Industry.
11. How Robots Talk: Introducing the Robot Operating System.	Robots have arrived. From factories to space, robots are everywhere. The focus now, is on building inexpensive and intelligent robots that can think on their own. With massive development efforts being undertaken all over the world in robotics, there is a need to have a common framework that allows code and hardware sharing. The framework needs to make it easy for different types of robots to talk to each other and work collectively.	Robot Operating System (ROS) is one such framework, that is the de facto standard for robotics software development across the world. It is open source and language independent, with Python and C++ being its most popular implementations. It also provides tools and libraries for obtaining, building, writing, and running code across multiple computers. 	The talk will introduce the basics of ROS, including but not being limited to the following topics:
110. API Security Assessment (ASA) - Securing Pesky API's with Python	All API end points have a complex way of handling security principles such as Identity, Authorization and managing data. While there are some really good Web Application security products out there that do a great job of securing web applications in general. However Securing and auditing API's is more than a challenge for these products to handle. Developing an automated tool based on python that takes care of securing the API's is the need of the hour. 	Automated API Security Assessment tool developed in Python takes the pain out of testing API's for security vulnerabilities. The tool covers the following:	Interest in Security and Python
111. Dabbling with Descriptors	There are a lot of nifty features when you peek under the hood of Python. Descriptors happen to be just one of them. The talk will help you understand just what they are and how you can use them to write idiomatic code.	There are no pre-requisites. A basic understanding of OOP concepts will suffice.	N/a (coming soon)
112. Building Interactive Search Interfaces (aka chat-bots) in Python using Django and TensorFlow	There has been growing interest on shedding boring and cumbersome “search and get thousand results” interface to move towards a “conversational” interface to ease the reception of deluge of information in various web and mobile applications. While a naive search bar that simplified information extraction and delivery of web pages was the rage in early 2000s, exponential increase in data and information on the Internet is making it natural for the search bar to evolve into a smarter and responsive interface. Not only can this search bar be more responsive in terms of guiding users in an iterative aka conversation based search, but it can also be assistive in fetching information that suits the interests of different users. Sooner or later, such conversational interface will replace the old-generation search bar.	However, building such conversational interface has several technology challenges: a) the interface has to understand and extract intent from natural human inputs in terms of text or speech (this is partly done by the current generation search interfaces), b) it has to generate meaningful dialogue responses to engage users into a conversation, c) it has to understand and use context to assist users in fetching the most relevant information, and while doing so d) make the information results personalized to the user as she uses the interface over time.	How do we solve these technology challenges? Is the ‘conversational search’ a hype or soon to be reality? How are recent advances in deep learning playing their role towards building such ‘chat bots’? How can we build a real interactive search interface using existing web (or Django) and machine learning frameworks. In this talk, I will take a deep dive to answer these questions and present the state of the art in building conversational agents during Django and Tensorflow (and Python, of course!). Tensorflow is a machine/deep learning package (using Python) open sourced by Google and has several advanced features to parse user text queries and personalize search results.
113. Deep Learning fundamentals in Python: Implementing MLPs, Convnets Recurrent Nets and Reinforcement algorithms from scratch	Writing a Neural Network is one thing and making its training fast is another. For the same reason, programming a Neural Network should ideally neither be tough (as in Theano) or abstract (as in Keras). However, we have to use these frameworks to speed up the training (they compile the code for the CPU/GPU). The talk here is concerned about how can we implement these neural networks without aid of any frameworks (except numpy or autograd at worst) , so that we can strip down the complexity and see how the algorithms actually run. Bare minimal code is devoid of any complexity or abstractions and hence  we can focus on the algorithm than the framework.	Here is what we will walk through:	Implementing  a Multi Layer Perceptron using Numpy. Highlighting stages like forward propogation, backprop, training testing.
114. Put that SWAG in your API - SWAGGERIZE it	Everyone is making and consuming REST API's now a days as it's simple to consume and doesn't carry the bells and whistles like earlier complex technologies like SOAP. The Bells and whistles though at one point ensured that both client and server were tightly integrated with the help of sharable schema definitions by server to the clients. 	Swagger brings the similar kind of experience but in a much simple way to the REST API's, it helps generate the API Documentation on the fly that one can share with the clients. So lets SWAGGERize our API's and learn how to implement Swagger with Python as well as other Language based REST APIs.	REST APIs
115. Embedded visualization - Bring data to life inside your app	"Join in to learn about the magic of Power BI Embedded. As the name suggests, it lets you create visually impactful and interactive reports against your application data in Power BI Desktop, can easily explore your application data through a freeform, drag-and-drop canvas and produce rich data models using formulas and relationships.
It'll be a fun learning session with lots of colorful data visualization."	Basic understanding of data structures, wish to learn more about embedded visualization. That's it !	No comments added so far.
116. Sampling From Streams: Reservoir Sampling & VIRBs	Those of us who use Python to build systems that ingest constant streams of incoming data (which includes anybody whose code touches the internet) often need algorithms that keep a fixed-size sample from the stream for on-the-fly analytics. At Magnetic we are engaged in real-time bidding for online advertising, which also requires extremely low-latency Python code.	Reservoir sampling is a commonly used algorithm for keeping a sample that's unbiased over all events in the stream. But what if you want your algorithm to keep a representative sample from the past 10 minutes instead of the entire stream?	In this talk I'll start with a gentle introduction to reservoir sampling for those who are not familiar with it, and then discuss several variants that keep samples which are biased towards more recent events. One of these is the VIRB (Variable Incoming Rate Biased) sampler, which we have developed in-house at Magnetic.
117. Mercurial: A distributed revision control system	Willing to work on a project, want to track changes you have made, see which changes are made by whom, have the rights to decide what to include in your project what not to. Want to contribute to an open source organisation. The first thing which you should learn is Version Control System.	Python installed in their PC's.	I am an undergraduate in Computer Science who loves contributing to open source. I am also a contributor to Mercurial community.
118. Automating the complex tasks with Ansible	With increasing complexity of today's systems, it's becoming difficult to deploy your solution. Using Ansible you can take out the complexity from deployment and one can automate as much as possible. 	In this talk I will discuss about how to deploy complex Machine Learning systems using Ansible.	Python, Linux
119. Building a scalable NBA Sports Analytics Platform using Python Data Stack 	Devising strategies when the game is on based on in-game analytics is hard. Sports like basketball and soccer are free-flowing. Not long ago, most analysts used some form of aggregated metrics as the performance indicators and decisions were based on them. Examples include total points scored in the game, total rebounds in the game, etc.  But finer nuances of the game like which players were impacting the offense and defense in what ways were difficult to measure. From 2013, STATS SportVU started providing player tracking data for every single NBA game. This led to a explosion of data, leading to a greater emphasis on analytics amongst all the 30 teams. Teams were able to construct rosters using analytics. 	What are some of the challenges in designing such a system?	Python's data stack packs a punch when it comes to designing such a system. This talk covers how some of the above challenges were overcome using the Python data stack.  
12. Raspberry love for Python on IOT	Open source hardware like Raspberry Pi along with open source language like Python enables anybody to frame IoT devices. Workshop is aimed to impart knowledge about using Raspberry Pi and python to make simple devices where signals from sensors can be derived to control electronic devices and/or to make decisions. With this basic introduction about IoT  audience can innovate in their domain and come up with uniquely innovative solutions to real world problems.	"-->Basic python
-->Basic electronics
-->Raspberry Pi
-->micro SD card
-->Power adapter for Raspberry Pi
-->Connecting wires
-->Breadboard
-->Switch
-->LEDs"	"Ashutosh Kumar Singh
-->Pythonista
-->FOSS Enthusiast"
120. Natural Language processing for beginners(NLTK)	Natural Language Processing with python:	A talk about how we may leverage python(Natural language tool kit) to perform operations on text and use the same for various use cases. Basics of how to do few of the operations using NLTK and use the same in analysis.	The talk is going to be focused on how to use NLP and will include few demos of the same. Topics to be covered include processing raw text, categorization & tagging, Information extraction, and few other basic concepts.
121. Time Series Satellite Data Visualizer	Mr Umang Gupta, is currently pursuing his graduation in B.Tech from ABES Engineering College, Ghaziabad (UP, India) in Computer Science and Engineering, affiliated to Uttar Pradesh Technical University. At present, he is in third year. His area of interests include good command over C and Python languages, Data Structures using C, Data Analysis and Algorithms , Web Designing. His skills include fluent English speaking skills along with good writing skills.	Mail : umangg21@gmail.com  	No comments added so far.
122. Django Widget made easy	django Widget made easy	No comments added so far.	
123. Web Scraping for Dummies	Looking forward to this talk	Looking forward to this talk. 	"The prerequisites section could do with further detail. ""Basic knowledge"" could mean a variety of things and the audience should be clear about the expectations being set up by the speaker."
124. Complex web apps made easy using Django	Django is a super web framework that makes making complex web applications easy. 	In this tutorial, we'll create the facevote app, the one that Mark Zuckerberg made in the Social Network. Additionally, our app will have a leaderboard, vote counter etc. In the tutorial, we'll make this app from scratch, showing the various Django components along the way. By the end, everyone will have their app ready.	We will follow the best code pratices (docs, testing etc)
125. Algorithmic Music Generation	Music is mainly an artistic act of inspired creation and is unlike some of the traditional math problem.  Music cannot be solved by a simple set of formulae. The most interesting and challenging part is producing unique music without infringing the copyright. The generated music has to sound good, and what sounds good is very subjective. The model is mainly built for producing Indian music.	Artificial Neural Network/Deep Learning has wide range of application, such as in Image processing, Natural language processing, Time series prediction, etc. But what about its usage in art? This talk shows how deep learning was used to generate music.	Deep learning attempts to model high-level abstractions in data by using multiple processing layers whereas the traditional Machine learning algorithms emphasizes on what work the computer program must do after it is given a data set. The basic idea in deep learning is  to perform an unsupervised learning procedure on every single layer in addition to using gradient descent for the network as a whole. The goal of the unsupervised learning is to make each single layer extract characteristic features out of its input that can be used by subsequent layers. The neural network architecture makes use of numerous amount of Indian music to train the model. After adequate number of iterations and training time, this model generates music that is unique and  original.
126. Visualising Machine Learning Models	"This talk will introduce the audience to the ModelVis package in python, which has been developed to allow for convenient visualisation of regression, classification and clustering models.
This package gives users the power to: "	The ModelVis package is a great tool for both, data scientists who wish to look deeper into the model, as well as to an end user, for whom a visual representation of the model is easily relatable.	Basic understanding of what goes into data science. 
127. CollabFilter - A Python package for clustering items by similarity (Collaborative Filtering). 	Ever wondered how Amazon recommends items quite accurately while you were busy looking at another item? Or about how Netflix recommends a movie to you that you have been wanting to watch for a long time now? 	"A comprehensive open-source package in Python for Collaborative Filtering does not exist.
This package, CollabFilter is our contribution to developing a recommendation system in Python. It uses a lot of state-of-art data capabilities provided by the Python Data Stack. The talk will also cover briefly on a couple of use-cases where this package was used conveniently and effectively."	Basic understanding of data science and analytics
128. Open source health monitoring and evaluation systems using python	Health monitoring sensors are connected to Raspberry Pi and data collected using them is fed to python program for analysis and visualization. This enables the programmers to monitor and evaluate health of a human being. Potential use includes assisting medical diagnostics, performance evaluation of sportsperson, predicting medical emergencies etc. An Open-Source architecture enables developers to develop applications on top of the architecture which utilize the data to derive meaningful conclusions. 	"Basic python
Basic introduction to Raspberry Pi"	@vickysam Cool. Thanx for contacting. Lets chat sometimes on e-mail at sandeep.nagar@gmail.com
129. Prediction and Backtesting in stock market	"Application of Machine Learning and Sentiment analysis in stock market is worthy and I will use NIFTYBEES.NS daily data for this talk.  There would be four parts in this talk to show result, can help for better decision making to investors. Equity Research analysts can get better result using python too.
Part 1:
1. Downloading open source data and input output
2. Application of packages for prediction
Part 2:
3. Application of tweets for sentiment analysis
4. Application of scikit-learn for machine learning 
Part 3: 
5. Building simple trading strategy using MA and RSI
6. Back testing of strategy
Part 4:
7. Comparing compounded annual return, annual volatility and draw down with NIFTY."	Interesting stuff!	"Siddharth, I'll complete those slides by next few weeks and I'll write here after completion.
Any input and expectation will help me. "
13. Add intelligence to your Python apps using cognitive services	To get their apps to the ‘next’ level, a lot of developers explore the ways to add machine-based Artificial Intelligence to applications – more so, with the spurt in IoT applications and bots today. This can be challenging for a developer who has never ventured into ML and AI before. In this session, we will try to break that barrier – by using Cognitive Services in Python apps. These are a host of intelligent services which you can directly consume in your applications – such as, detecting emotions based on facial expressions, detecting and recognizing human faces in images, speaker recognition, computer vision, etc. In this talk, we will explore on how to integrate such services into Python applications, supported by live demos.	Basic knowledge of Python	Interest in AI
130. Introducing MetaClasses	"This talk is based on the metaclasses in Python.
The secret sauce which create classes."	There are no prerequisites for this talk, anyone who can write a class in python and have a basic idea of inheritance can easily follow this talk.	Slides were already trending on reddit [4].
131. The trends in choosing licenses in Python ecosystem	"The software licenses are the permissions over copyrighted software. The permission and/ grant includes the grant 
to use, 
to redistribute,
to prepare derivative works etc. 
 These software licenses also set forth the limitations over these aforesaid rights. The software licenses basically marks the boundary for the usage of the code."	Therefore from the above mentioned introduction it very clear that it is very important for developers to choose the license for their code wisely and correctly.	Pypi, the Python Package Index is a repository of software for the Python programming language. There are currently 80000+ packages there.
132. Web Scraping using Selenium Webdriver and Data Analysis with Python	Selenium is widely used for Automation testing only but In this short session we will see how one can pull the data from the web using Selenium Webdriver and then perform exploratory analysis on this data using Python modules Pandas,IPython and matplotlib, We will be scraping the data from open source website IMDB consist of Best pictures won in last 65 years in Filmfare and will see what interesting facts can be revealed from the data.	This entire exercise would be helpful for anyone who wants to understand how data can be pulled with the help of Selenium Webdriver from a website and organized using python libraries for the data analysis. During this session we would be using an open source data for analysis and see how we can draw conclusions using this data.	This Paper is presented in Selenium Conference 2016.
133. Learning about Internet Routing using python	This is going to be a talk about a mini-project, that started with a simple question. Can I find out what percentage of Internet traffic that I browse is served from India and what percentage is served from outside of India? 	This talk will basically cover at a very high level how Internet routing works and how one can use Python to find out interesting information about what's happening in Internet. 	Then I'd basically cover some interesting findings about Python while working on this mini-project - 
134. Python for image analytics (face recognition and other image analytics cases)	"We can leverage python for Image analytics work like 
1. face recognition, 
2. analysis of FMRI and other medical reports, 
3. video analysis to find copyright-wise problematic videos
4. analysis of street images to identofy ideal location  etc. This session will explain how to use Python, PyVision, OpenCV and SciPy for such work. Also, we will have some live case studies and the easy to understand code. When you leave this talk, you will be an expert in image analytics using python. "	Basic understanding of Python. 	Prasad Kothari is an analytics thought leader. He has worked extensively with Organizations such as Merck, Sanofi Aventis, Freddie Mac, Fractal Analytics, and the National Institute of Health on various analytics and big data projects. He has published various research papers in the American Journal of Drug and Alcohol Abuse and American public health.
135. Sentiment  analysis  and Web Development with flask	Basic knowledge of python	Basic knowledge of HTML, CSS 	git(very basics) 
136. Creating & publishing custom Web API to mashape API platform.	A complete tutorial on creating & deploying web API to access data from websites which does not provide official APIs.	I am Daxeel Soni, currently pusruing Bachelors of Engineering in computer engineering. I have large experience in developing python open source libraries, custom SDKs, web APIs. I am an active contributor to python open source projects.	I've developed two public APIs in python and published it to mashape marketplace. Currently both APIs have 50+ developers across the globe.
137. Developing your own Telegram Chat Bot	In this new age of Artificial Intelligence and Machine Learning, bots can do just about anything. Be it an online shopping assistant bot, a 2048 game solver bot or the most famous AlphaGo bot, we can safely assume that bots will rule the future. 	For those who are unaware, Telegram is an instant messaging app which supports the development of bots on its platform.	This workshop will focus on building your own bot for Telegram. By the end of the workshop, all participants would've developed and deployed their own Telegram bot which would be performing a task of their own choice.
138. Home Security Systems Using Python And IOT	Providing home security systems using python which will deliver us the following benefits:	DAVIK MEHRA. Pursuing Engineering In Computer Science 3 Year. Interested Keenly  In Python And Its Implementation In Various Fields Like IOT And Analytics .Presently Working On Building A Home Security System  Using Python. Worked On Python Frameworks Like Django. Worked With Iron Python, Databases Using Python. HTML , CSS With Python Implementation.	daivikmehra@hotmail.com
139. Power of Flask 	"Python Developer. Love to play with different frameworks under different languages.  KDE contributor and Google Summer of Code 2015.
Mentored Season of KDE and Google CodeIn 2015 and mentoring Google Summer of Code 2016."	Worth going to..	This one is helpful..
14. Real time Sentiment Analysis with Apache Storm and Python	Data is everywhere. How much data can we process in real time? How twitter is managing this huge data? This talk will help in understanding Big Data better. Twitter uses Apache Storm. Take a dive into Apache storm and learn more about Twitter Sentiment Analysis in Real Time.	Basic Python Knowledge	Basic Awareness of NLP is a plus though not required
140. Core python	core python programming give to the knowledge about programming with python. 	python intalled with windows, linux, mac..	"viren parmar
Python Developer at Google Developer Groups and
Organizer of Techno Club"
141. The Art of Packet Crafting with Scapy!	No comments added so far.		
142. Hacking the Python AST	Computer languages are a remarkable feat of human scientific engineering. In this talk, we'll look at the innards of Python, and specifically learn how to modify Abstract Syntax Trees (for world peace).	I'm looking forward to this. Good job @jargnar	
143. Managing a distributed, heterogeneous Git mirror network	At KDE, our git server infrastructure consists of one master git server that accepts pushes, a network of read-only anongit servers, and a GitHub organisation which hosts another read-only copy of our repositories.	We typically need to create new repos, rename and move existing ones, and finally delete unused repos. All of these operations have to played on our master server, the anongit mirrors and to whatever extent possible, our GitHub org. We have to keep the mirrors in sync, poke CI when all the mirrors are up-to-date, and notify the admins when something goes wrong. Managing all of this is a big task, especially when networks are bad, servers don't sync and daemons crash.	To solve this problem, what started out as a set of ad-hoc scripts became a full blown piece of server software built to manage a fleet of git mirrors. In this talk, we'll describe how we use Python, Redis, Tornado and other libraries, with a home grown task queue, to solve all of our problems.
144. Demystifying Monolithic Vs Microservice  architecture 	"Where does the confusion arises . The Good and Bad sides of both the styles . Suitability , best practices and the best options available in Python .
Comparative viewpoints of different Python based frameworks (Django, Falcon, Flask , Bottle , etc ) for building rest APIs via both the architectures .   "	Hey, can you add some slides or more info about the project.	Sure . I am in the process of creating them . Will put them up as soon as i finish them up . 
145. Python for Healthcare - Medical Terminologies for Python: UMLS, SNOMED CT, ICD10 | HL7	At the end of the talk attendees will have a different perspective for using python in healthcare.	Can you please update the speaker's profile section to showcase why are you a good fit to give the talk on this topic?	Hi Kushal,
146. Pagure Jenkins Interaction	"It is one of the project that we are working on in the Pagure team,
the aim is to make a service which triggers the Jenkins build and monitor it.
Then fetches the build status and attach a label to the Pull Request."	"Audience can expect to get deep insight about Pagure, a general understanding of how Jenkins work.
For that reason they get to know what Jenkins is. They get to know how they can write a service and 
monitor builds and trigger builds in Jenkins."	Pagure is a light-weight git-centered forge based on pygit2.
147. Building a secure IoT platform using Paho and Flask	MQTT and COAP are very common light weight protocols for IoT development.  One area that developers overlook during initial development is making it secure from day 1. This session will focus on a couple of approaches to make the interaction between the device and data collection server more secure and reliable using  HTTPS based key exchange and signed MQTT packets.  Paho is a light weight and easy to use library that handles most of the pub/sub, marshall/unmarshall, data transformation tasks.  Second area that we focus is getting maximum data from the device that will help you with diagnostics in early stage of development.   In addition to flask and paho, this session will touch upon sqlalchemy.  Whole platform design will rely on  micro-service architecture and hence the talk will introduce you to some components available in python, such as airflow.	Jaimon Jose is  Co-Founder and CTO of PicoNets where he focuses on building next generation picoCDNs, a different approach to content caching and delivery.  Prior to starting PicoCDN, he worked with a startup focusing on air pollution and built a pollution data layer using various sensing devices. 	"He ended his corporate life as Distinguished Engineer and Member of the CTO team in Novell, responsible for technical vision and strategy.  As an Identity and Security expert and a CISSP,  he used to focus on security aspects of emerging technologies including BYO{D|I} and Big Data.  He believes that a lot of innovation and solutions will evolve in the mobile computing domain and that will be a trigger for the accelerated cloud adoption.  His research areas included identity analytics using Big Data and predictive analytics that leverages disparate sources like physical, virtual and cloud. 
 
He represented Novell in standard organizations like IETF, OpenGroup and DMTF and is a co-author of DMTF cloud interoperability standard.  Jaimon is a regular speaker at various conferences  in India and abroad including InterOp, Silicon India, BrainShare and other industry-academia collaborations. "
148. BigData Analytics and Visualization in Flask framework	You should have basic knowledge of the following:	Hey, I'm a python programmer working as a Software Engineer in a young start-up company based in Bangalore	No comments added so far.
149. MySQL, Python and MySQL Shell for Python	We'll talk about X Dev API for Python. The new ‘X’ plugin allows MySQL to be used as a document data store while retaining the ACID compliance of the RDBMS. MySQL announced the MySQL Shell for Python and Javascript which can be used to interact with MySQL and access data in tables or JSON documents. The Shell has several new features and totally changes the way you’ve traditionally interacted with the MySQL server.	Basic understanding of the databases.	Nitin is an open source professional with over 13 years of experience. He has worked in various capacities in database architecture and management roles. He’s employed at Oracle and is currently part of the global pre-sales team, helping and educating customers and community in various projects. He's also been a speaker at various technology events.
15. Scaling Django with Kubernetes	"It has always been advised to architect our apps to both scale, fault/load tolerance and be resilient 
to arbitrary failure.  Most services are implemented as a container under the hood. Traditionally,
you would deploy django to some virtual machine instance.  PaaS has been the buzz word for quite 
sometime now, and is paving way for CaaS - Container as a Service. Containers, most often use Docker 
to produce immutable, isolated and quick to sign up application images."	With containers there have been few known challenges:	How do multiple containers talk to each other?
150. Make Your MySQL Server Installation More Secure	Data in databases is turning into the most valuable asset modern companies can have. Making MySQL more secure is easy. Thus let's Learn about the little things that can make a huge difference in preventing, deterring, and analyzing malicious attempts. See how they affect the availability and the usability of the server. Learn how to avoid common mistakes when deploying your MySQL database and how to secure your database with multi strength layers.	Know basics about Database.	"Megha Singhvi is a Open Source Evangelist with detailed working experience on MySQL. She is working as a MySQL Technical Principal Consultant at MySQL - Oracle India. She looks after the  regions like India, Srilanka, Bangladesh, Nepal and have multiple hands on experience with MySQL. She is MySQL certified.
Multiple time Speaker at OSI, PyCON Singapore, PyCON India in past, talked in couple of Oracle events & also spoke as a guest in various company events."
151. Test Automation using Python and Robo Framework	Automated testing is you best bet to boost the efficiency and broaden the scope of your software testing. Robot Framework is a keyword-driven test automation framework, written in Python. It empowers testers to automate and manage complex workflow scripts efficiently.	Basic knowledge of Python	"Around 7.5 years of professional experience in object-oriented, client/server, and web-based applications of software development and automation; major technical skill area included Free and Open Source Software (FOSS) such as Python and Django with proficiency in KDB, MySQL, and PostgreSQL databases
Good exposure to each of the phases of Software Development Life Cycle (SDLC), developing projects from stage of concept to full implementation. Worked on ETrading Automation and Took Workshop's in IIT Hyderabad."
152. Ansible: Python based Next Gen Configuration Management and Provisioning	Basic knowledge of Python and YAML	Looks good...	"I'd recommend turning this talk on its head. Instead of ""a gentle introduction to Ansible"" (which is a good thing, but fairly mundane), how about building up good habits in beginners and showing them how some of the common problems/pitfalls from code -> deploy can be managed via Ansible?"
153. Web Development with Django and MongoDB	Now a days many people are using MEAN (MongoDB, Express, Angular, Node ) for web development because MongoDB is Schema less Database . The idea is to develop Schema less application using Django with MongoDB as a database	Schema Less or Non-Relational Schema Design	If you come from a relational background a non-relational database may seem counter-intuitive or completely odd since most non-relational databases are document and multi-key oriented and provide a different method of querying and excluding data.
154. A Sublime Plugin, With Backend Service In Bottle, and Going Live Using OpenShift	In this session, 	Developing REST Service and Hosting in OpenShift	Creating Sublime Plugin
155. Scraping to the rescue	Also we'll be going through some real world example codes to give the attendees a gist of what all it takes to successfully extract the data they require. At the end we'll mention some scraping ethics to be aware of so that one doesn't end up putting anyone in trouble.	"Do you happen to have a list of useful websites which could be scraped and such? I am suggesting that a bunch of ""ToDo"" or, ""Now that we have shared our knowledge, how about you/the audience consider working on these sites"" kind of list."	There's a fine line between scraping a site and DOSing a site. Please explain to the audience the importance of not accidentally bringing the site down.
156. Scaling Django To The Sky	This proposal is to explain the tips and tricks of scaling a Django project to handle millions of requests  with a simple and elegant stack. This talk explains how efficiently developers can use 	You should have idea of following:	last October, I gave a talk on distributed databases in PyCon India 2016 .
157. Flying A Drone	This talk i will the learnings from my experience of programming  CrazyFlie (Quadcopter) With python.	So this talk will cover,	"I've worked in different Tech Stack, Python, Java, Ruby etc, and have used many frameworks, built applications end to end.
Have exposure to Test Driven Development, Continous Integration/Continous Delivery, Agile etc.
I am experimenting with Auto Pilot Drone, also learning Machine Learning, functional Programming"
158. Demystifying Python's Method Resolution Order	"This talk is based on the method resolution order which defines the ""class search path"" used by Python to search for the right method to use in classes having multi-inheritance."	Brief Background: It all started with a post by Samuele Pedroni to the Python development mailing list on 1 Oct 2002. In his post, Samuele showed that the Python 2.2 method resolution order is not monotonic and he proposed to replace it with the C3 method resolution order. Guido agreed with his arguments and therefore now Python 2.3 uses C3.	Hence, Python uses two algorithms for method resolution order. The Old MRO algorithm is very straight forward but the new one is not so easy to bring out. I will be discussing and explaining both the algorithm and I would also be talking a a bit about the background of this change and the benefits of new C3 Method Resolution Order.
